Current_State,Previous_State,Movers_Estimate
District of Columbia,Texas,2631.0
District of Columbia,Utah,207.0
District of Columbia,Vermont,86.0
District of Columbia,Virginia,7085.0
District of Columbia,Washington,443.0
District of Columbia,West Virginia,100.0
District of Columbia,Wisconsin,303.0
District of Columbia,Wyoming,0.0
Florida,Alabama,13789.0
Florida,Alaska,2280.0
Florida,Arizona,8361.0
Florida,Arkansas,4025.0
Florida,California,39052.0
Florida,Colorado,13264.0
Florida,Connecticut,15743.0
Florida,Delaware,1739.0
Florida,District of Columbia,1691.0
Florida,Georgia,44469.0
Florida,Hawaii,3294.0
Florida,Idaho,913.0
Florida,Illinois,27109.0
Florida,Indiana,14939.0
Florida,Iowa,4367.0
Florida,Kansas,5297.0
Florida,Kentucky,9814.0
Florida,Louisiana,6194.0
Florida,Maine,3831.0
Florida,Maryland,17439.0
Florida,Massachusetts,24002.0
Florida,Michigan,26512.0
Florida,Minnesota,8274.0
Florida,Mississippi,4750.0
Florida,Missouri,7814.0
Florida,Montana,1030.0
Florida,Nebraska,1317.0
Florida,Nevada,5632.0
Florida,New Hampshire,5012.0
Florida,New Jersey,33226.0
Florida,New Mexico,2416.0
Florida,New York,71138.0
Florida,North Carolina,25290.0
Florida,North Dakota,1189.0
Florida,Ohio,18543.0
Florida,Oklahoma,5488.0
Florida,Oregon,2310.0
Florida,Pennsylvania,27770.0
Florida,Rhode Island,3400.0
Florida,South Carolina,14066.0
Florida,South Dakota,555.0
Florida,Tennessee,15663.0
Florida,Texas,37781.0
Florida,Utah,3733.0
Florida,Vermont,1739.0
Florida,Virginia,28226.0
Florida,Washington,9009.0
Florida,West Virginia,4044.0
Florida,Wisconsin,9232.0
Florida,Wyoming,162.0
Georgia,Alabama,17506.0
Georgia,Alaska,1028.0
Georgia,Arizona,2706.0
Georgia,Arkansas,2912.0
Georgia,California,20191.0
Georgia,Colorado,5154.0
Georgia,Connecticut,3380.0
Georgia,Delaware,747.0
Georgia,District of Columbia,1475.0
Georgia,Florida,55250.0
Georgia,Hawaii,482.0
